day,person_i,person_j,contact_type,weight
39,256,779217,1,2.0
39,256,955989,1,2.0
39,283,96751,1,2.0
39,283,116202,1,2.0
39,283,670296,1,2.0
39,283,716337,1,2.0
39,772,120914,1,2.0
39,772,227749,1,2.0
39,772,423828,1,2.0
39,772,637392,1,2.0
39,953,603983,1,2.0
39,953,725375,1,2.0
39,953,889095,1,2.0
39,953,934423,1,2.0
39,1257,232244,1,2.0
39,1609,148688,1,2.0
39,2350,820902,1,2.0
39,2895,742425,1,2.0
39,2895,844542,1,2.0
39,4780,164101,1,2.0
39,4780,316945,1,2.0
39,4780,790631,1,2.0
39,5188,467914,1,2.0
39,5188,824162,1,2.0
39,5188,947148,1,2.0
39,6392,149896,1,2.0
39,6392,219863,1,2.0
39,6392,875431,1,2.0
39,6779,298954,1,2.0
39,6850,8849,1,2.0
39,6850,319958,1,2.0
39,6850,684774,1,2.0
39,6850,780227,1,2.0
39,6850,906832,1,2.0
39,7880,570283,1,2.0
39,7880,862220,1,2.0
39,8715,838591,1,2.0
39,8849,442668,1,2.0
39,8849,571706,1,2.0
39,8849,659790,1,2.0
39,8849,668595,1,2.0
39,8849,779648,1,2.0
39,8849,780227,1,2.0
39,8849,923907,1,2.0
39,9043,388643,1,2.0
39,9043,492588,1,2.0
39,9043,636816,1,2.0
39,9576,35373,1,2.0
39,9576,210133,1,2.0
39,9576,708243,1,2.0
39,9576,915642,1,2.0
39,9576,942554,1,2.0
39,9988,779217,1,2.0
39,10779,45483,1,2.0
39,10779,145086,1,2.0
39,10779,249196,1,2.0
39,10779,446752,1,2.0
39,10779,450305,1,2.0
39,10779,740978,1,2.0
39,11328,120914,1,2.0
39,11642,940993,1,2.0
39,11962,347326,1,2.0
39,11962,407007,1,2.0
39,11962,774769,1,2.0
39,11962,920379,1,2.0
39,11962,925845,1,2.0
39,12156,43023,1,2.0
39,12156,52476,1,2.0
39,12156,433792,1,2.0
39,12156,994462,1,2.0
39,12444,800182,1,2.0
39,12444,830841,1,2.0
39,12574,435818,1,2.0
39,12719,103692,1,2.0
39,13068,96842,1,2.0
39,13068,524624,1,2.0
39,13068,555842,1,2.0
39,13453,898920,1,2.0
39,13526,739349,1,2.0
39,14267,712890,1,2.0
39,14267,739349,1,2.0
39,15257,270629,1,2.0
39,15505,77876,1,2.0
39,15505,109335,1,2.0
39,15505,123641,1,2.0
39,15505,458940,1,2.0
39,15505,484096,1,2.0
39,15505,522940,1,2.0
39,15618,41160,1,2.0
39,15618,708521,1,2.0
39,15627,129418,1,2.0
39,15627,921083,1,2.0
39,16306,179985,1,2.0
39,16353,43875,1,2.0
39,16353,601589,1,2.0
39,17163,712988,1,2.0
39,17220,365174,1,2.0
39,17520,966484,1,2.0
39,17679,964640,1,2.0
39,17769,271414,1,2.0
39,17769,381590,1,2.0
39,18015,25422,1,2.0
39,18015,266949,1,2.0
39,18015,712700,1,2.0
39,18015,857971,1,2.0
39,18121,25422,1,2.0
39,18121,343883,1,2.0
39,18121,757800,1,2.0
39,18121,857971,1,2.0
39,18745,211634,1,2.0
39,18745,769094,1,2.0
39,18833,514860,1,2.0
39,18833,739657,1,2.0
39,19707,281762,1,2.0
39,19707,639745,1,2.0
39,19707,644015,1,2.0
39,19707,768660,1,2.0
39,19707,796974,1,2.0
39,19707,863944,1,2.0
39,20183,98762,1,2.0
39,20589,403171,1,2.0
39,20719,453172,1,2.0
39,20719,772930,1,2.0
39,21128,121076,1,2.0
39,21128,665917,1,2.0
39,21128,773088,1,2.0
39,21940,27127,1,2.0
39,21940,189768,1,2.0
39,21940,203014,1,2.0
39,21940,427393,1,2.0
