n,positive_count,positive_rate,contact_edges,weighted_graph_edges,positive_positive_edges,positive_symptomatic_count,positive_symptomatic_rate,asymptomatic_positive_count,asymptomatic_positive_rate,negative_symptomatic_count,negative_symptomatic_rate,mean_symptom_count_positive,mean_symptom_count_negative,sample_index,sample_dir,group_A_count,group_A_positive_count,group_A_positive_rate,group_B_count,group_B_positive_count,group_B_positive_rate,group_C_count,group_C_positive_count,group_C_positive_rate,group_D_count,group_D_positive_count,group_D_positive_rate
3000.0,54.0,0.018,11246.0,6265.0,126.0,22.0,0.4074074074074074,32.0,0.5925925925925926,384.0,0.13034623217922606,0.7962962962962963,0.15207060420909707,14,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample14_maxpos5pct_work,197,22,0.1116751269035533,209,0,0.0,1055,31,0.029383886255924172,1539,1,0.000649772579597141
3000.0,52.0,0.017333333333333333,10625.0,5947.0,90.0,26.0,0.5,26.0,0.5,386.0,0.1309362279511533,1.0,0.14959294436906379,15,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample15_maxpos5pct_work,178,24,0.1348314606741573,234,2,0.008547008547008548,998,24,0.02404809619238477,1590,2,0.0012578616352201257
3000.0,61.0,0.02033333333333333,10597.0,5940.0,91.0,26.0,0.4262295081967213,35.0,0.5737704918032787,377.0,0.12827492344334807,0.7213114754098361,0.1466485199047295,16,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample16_maxpos5pct_work,165,24,0.14545454545454545,238,2,0.008403361344537815,984,29,0.029471544715447155,1613,6,0.0037197768133911966
3000.0,57.0,0.019,10635.0,5993.0,109.0,22.0,0.38596491228070173,35.0,0.6140350877192983,394.0,0.13387699626231736,0.7368421052631579,0.15256540944614339,17,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample17_maxpos5pct_work,169,19,0.11242603550295859,247,3,0.012145748987854251,1005,30,0.029850746268656716,1579,5,0.0031665611146295125
3000.0,55.0,0.018333333333333333,11260.0,6333.0,101.0,25.0,0.45454545454545453,30.0,0.5454545454545454,373.0,0.1266553480475382,0.8727272727272727,0.14125636672325975,18,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample18_maxpos5pct_work,180,24,0.13333333333333333,218,1,0.0045871559633027525,1020,26,0.025490196078431372,1582,4,0.0025284450063211127
3000.0,55.0,0.018333333333333333,10881.0,6094.0,93.0,26.0,0.4727272727272727,29.0,0.5272727272727272,362.0,0.12292020373514431,0.8909090909090909,0.14091680814940577,19,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample19_maxpos5pct_work,159,26,0.16352201257861634,229,0,0.0,1060,28,0.026415094339622643,1552,1,0.0006443298969072165
3000.0,52.0,0.017333333333333333,10825.0,6101.0,99.0,22.0,0.4230769230769231,30.0,0.5769230769230769,365.0,0.12381275440976934,0.8269230769230769,0.13975576662143827,20,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample20_maxpos5pct_work,167,20,0.11976047904191617,220,2,0.00909090909090909,1021,30,0.029382957884427033,1592,0,0.0
3000.0,50.0,0.016666666666666666,10843.0,6077.0,86.0,17.0,0.34,33.0,0.66,377.0,0.12779661016949154,0.8,0.14779661016949153,21,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample21_maxpos5pct_work,190,16,0.08421052631578947,204,1,0.004901960784313725,971,30,0.030895983522142123,1635,3,0.001834862385321101
3000.0,50.0,0.016666666666666666,10885.0,6111.0,87.0,18.0,0.36,32.0,0.64,368.0,0.12474576271186441,0.7,0.14372881355932204,22,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample22_maxpos5pct_work,138,17,0.12318840579710146,248,1,0.004032258064516129,997,31,0.031093279839518557,1617,1,0.0006184291898577613
3000.0,58.0,0.019333333333333334,11098.0,6230.0,113.0,19.0,0.3275862068965517,39.0,0.6724137931034483,367.0,0.1247450713800136,0.5517241379310345,0.1397008837525493,23,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample23_maxpos5pct_work,143,18,0.1258741258741259,243,1,0.00411522633744856,1064,35,0.03289473684210526,1550,4,0.0025806451612903226
