day,person_i,person_j,contact_type,weight
39,405,948357,1,2.0
39,721,106170,1,2.0
39,791,168904,1,2.0
39,791,265602,1,2.0
39,791,319902,1,2.0
39,791,439178,1,2.0
39,791,509788,1,2.0
39,791,998704,1,2.0
39,2273,87945,1,2.0
39,2273,769082,1,2.0
39,2273,913611,1,2.0
39,2817,135648,1,2.0
39,2817,213537,1,2.0
39,3025,853762,1,2.0
39,3824,135905,1,2.0
39,3824,635154,1,2.0
39,3824,756479,1,2.0
39,4074,419211,1,2.0
39,4074,517507,1,2.0
39,4074,530463,1,2.0
39,4074,712586,1,2.0
39,4074,880878,1,2.0
39,4274,842690,1,2.0
39,4781,384567,1,2.0
39,5162,794985,1,2.0
39,5162,956414,1,2.0
39,6842,625541,1,2.0
39,7417,529316,1,2.0
39,8002,424514,1,2.0
39,8002,978572,1,2.0
39,8012,294831,1,2.0
39,8012,759890,1,2.0
39,8012,844366,1,2.0
39,8012,913716,1,2.0
39,8012,977370,1,2.0
39,8749,52117,1,2.0
39,8749,74898,1,2.0
39,8749,280910,1,2.0
39,8749,437396,1,2.0
39,8749,558399,1,2.0
39,8911,253664,1,2.0
39,8911,338730,1,2.0
39,8946,504301,1,2.0
39,8946,598978,1,2.0
39,9454,57175,1,2.0
39,9454,242287,1,2.0
39,9454,350325,1,2.0
39,9646,242862,1,2.0
39,9957,578639,1,2.0
39,10132,590848,1,2.0
39,10815,601418,1,2.0
39,11065,84079,1,2.0
39,11065,186972,1,2.0
39,11065,762352,1,2.0
39,11065,949601,1,2.0
39,11074,343483,1,2.0
39,11074,395234,1,2.0
39,11074,509094,1,2.0
39,11074,585069,1,2.0
39,11074,870532,1,2.0
39,11140,66344,1,2.0
39,11140,81253,1,2.0
39,11140,149272,1,2.0
39,11140,226445,1,2.0
39,11140,462670,1,2.0
39,11140,506271,1,2.0
39,11222,272047,1,2.0
39,11431,174029,1,2.0
39,11523,82183,1,2.0
39,11523,218009,1,2.0
39,11523,396913,1,2.0
39,11848,681458,1,2.0
39,12081,88742,1,2.0
39,12081,181855,1,2.0
39,12081,249074,1,2.0
39,12520,465795,1,2.0
39,13018,183091,1,2.0
39,13018,601288,1,2.0
39,13018,636395,1,2.0
39,14354,682086,1,2.0
39,14354,779851,1,2.0
39,14354,866503,1,2.0
39,14648,700852,1,2.0
39,14768,163793,1,2.0
39,14768,268314,1,2.0
39,14768,366700,1,2.0
39,14768,489569,1,2.0
39,14768,653122,1,2.0
39,14768,778955,1,2.0
39,14768,963626,1,2.0
39,14768,972329,1,2.0
39,15144,67365,1,2.0
39,15144,910278,1,2.0
39,15519,75779,1,2.0
39,16117,494709,1,2.0
39,16117,582092,1,2.0
39,16117,718424,1,2.0
39,16617,72661,1,2.0
39,16617,156774,1,2.0
39,16617,211825,1,2.0
39,16617,458668,1,2.0
39,16617,542875,1,2.0
39,16617,676805,1,2.0
39,16617,814651,1,2.0
39,16617,995697,1,2.0
39,17383,249462,1,2.0
39,17383,665694,1,2.0
39,17429,590848,1,2.0
39,17464,733282,1,2.0
39,17629,116991,1,2.0
39,18044,164914,1,2.0
39,18044,446534,1,2.0
39,18044,656303,1,2.0
39,18044,735814,1,2.0
39,18044,765729,1,2.0
39,18044,841266,1,2.0
39,18044,848410,1,2.0
39,18044,935030,1,2.0
39,18945,41283,1,2.0
39,18945,319052,1,2.0
39,18945,663830,1,2.0
39,19210,127776,1,2.0
39,19210,154378,1,2.0
39,19210,509679,1,2.0
39,19855,691229,1,2.0
39,20952,523441,1,2.0
39,20952,722427,1,2.0
39,21255,115917,1,2.0
39,21769,93016,1,2.0
39,21769,235004,1,2.0
39,21769,347522,1,2.0
39,21769,526226,1,2.0
39,22079,227868,1,2.0
39,22079,621968,1,2.0
39,22079,756502,1,2.0
39,22079,849732,1,2.0
39,22266,135648,1,2.0
39,22266,213537,1,2.0
39,22266,284985,1,2.0
39,22266,683703,1,2.0
39,22277,37339,1,2.0
39,22277,216040,1,2.0
39,22277,291297,1,2.0
39,22277,546499,1,2.0
39,22277,746007,1,2.0
39,22277,918744,1,2.0
39,22872,756591,1,2.0
39,22872,816733,1,2.0
39,23249,144051,1,2.0
39,23249,597785,1,2.0
39,23249,609282,1,2.0
39,24304,253664,1,2.0
39,24304,690468,1,2.0
39,24304,789128,1,2.0
39,24977,246754,1,2.0
39,24977,265118,1,2.0
39,24977,312775,1,2.0
39,25440,62054,1,2.0
39,25845,170644,1,2.0
39,26360,77808,1,2.0
39,26360,348752,1,2.0
39,26360,554288,1,2.0
39,26360,609521,1,2.0
39,26475,167546,1,2.0
39,26475,213537,1,2.0
39,26475,280354,1,2.0
39,26475,930368,1,2.0
39,26649,589191,1,2.0
39,26908,124752,1,2.0
39,26908,204262,1,2.0
39,26908,521334,1,2.0
39,26908,756633,1,2.0
39,26944,540355,1,2.0
39,26944,921338,1,2.0
39,27149,730040,1,2.0
39,27149,972329,1,2.0
39,27149,978226,1,2.0
39,27269,41283,1,2.0
39,27269,259041,1,2.0
39,27269,613025,1,2.0
39,27588,584513,1,2.0
39,27830,699014,1,2.0
39,28664,505234,1,2.0
39,28664,559831,1,2.0
39,29703,700128,1,2.0
39,30355,66930,1,2.0
39,30417,314071,1,2.0
39,30417,740721,1,2.0
39,30478,91467,1,2.0
39,30770,144680,1,2.0
39,31569,190412,1,2.0
39,31577,37232,1,2.0
39,31577,346149,1,2.0
39,31794,179896,1,2.0
39,31794,280690,1,2.0
39,31794,524925,1,2.0
39,31794,622931,1,2.0
39,32774,91032,1,2.0
39,32774,736064,1,2.0
39,33109,77370,1,2.0
39,33109,254887,1,2.0
39,33445,131985,1,2.0
39,33445,379990,1,2.0
39,33445,570637,1,2.0
39,33445,760183,1,2.0
39,33570,252043,1,2.0
39,33570,361871,1,2.0
39,33570,516875,1,2.0
39,33570,547261,1,2.0
39,33570,679137,1,2.0
39,33570,739527,1,2.0
39,33570,744662,1,2.0
39,33570,911901,1,2.0
39,33570,939799,1,2.0
39,33597,594311,1,2.0
39,33855,402589,1,2.0
39,33855,725248,1,2.0
39,33988,986945,1,2.0
39,33988,987471,1,2.0
39,34858,715419,1,2.0
39,35399,801878,1,2.0
39,35561,816733,1,2.0
39,36166,75575,1,2.0
39,36166,216989,1,2.0
39,36166,320991,1,2.0
39,36166,531483,1,2.0
39,36166,984124,1,2.0
39,36731,54922,1,2.0
39,36731,55509,1,2.0
39,36731,421053,1,2.0
39,36731,495808,1,2.0
39,36731,680303,1,2.0
39,37232,319366,1,2.0
39,37232,427596,1,2.0
39,37249,279953,1,2.0
39,37339,183224,1,2.0
39,38744,52117,1,2.0
39,38744,74898,1,2.0
39,38744,280910,1,2.0
39,38744,672611,1,2.0
39,38744,921413,1,2.0
39,38744,928098,1,2.0
39,38744,950704,1,2.0
39,39093,136516,1,2.0
39,39093,316326,1,2.0
39,39093,481629,1,2.0
39,39093,567203,1,2.0
39,39093,734563,1,2.0
39,39093,898316,1,2.0
39,39548,390651,1,2.0
39,39548,598039,1,2.0
39,39548,700852,1,2.0
39,39548,818401,1,2.0
39,40041,241673,1,2.0
39,40499,509036,1,2.0
39,40694,273932,1,2.0
39,40694,398343,1,2.0
39,40694,667514,1,2.0
39,40745,568752,1,2.0
39,40874,46805,1,2.0
39,40874,199639,1,2.0
39,40874,245753,1,2.0
39,40874,390748,1,2.0
39,40874,517218,1,2.0
39,40874,860606,1,2.0
39,41077,44077,1,2.0
39,41077,149869,1,2.0
39,41077,383974,1,2.0
